from,to
Doorkeeper::AccessToken,Doorkeeper::Application
Doorkeeper::AccessGrant,Doorkeeper::Application
WorkflowRule,Tracker
WorkflowRule,IssueStatus
WikiRedirect,Wiki
WikiPage,Wiki
WikiPage,WikiContent
WikiPage,WikiPage
WikiPage,Watcher
WikiPage,Principal
WikiContentVersion,WikiPage
WikiContent,WikiContentVersion
Wiki,Watcher
Wiki,Principal
Watcher,Message
Watcher,EnabledModule
Watcher,Board
Watcher,News
Watcher,Principal
TimeEntry,TimeEntryActivity
Role,CustomField
Role,Role
Role,Query
Reaction,Message
Reaction,Journal
Reaction,Comment
Reaction,News
Message,Board
Message,Message
Message,Principal
MemberRole,Member
JournalDetail,Journal
IssueStatus,WorkflowTransition
Tracker,IssueStatus
ImportItem,Import
EnabledModule,Principal
CustomFieldEnumeration,CustomField
Comment,News
Repository,Changeset
Repository,Change
Changeset,Change
Changeset,Changeset
Board,Board
Board,Principal
Attachment,Version
Attachment,Document
Document,DocumentCategory
News,Principal
Enumeration,Enumeration
WorkflowTransition,Tracker
WorkflowPermission,Tracker
WorkflowPermission,IssueStatus
UserImport,ImportItem
TimeEntryImport,ImportItem
IssueImport,ImportItem
Repository::Subversion,Changeset
Repository::Subversion,Change
Repository::Mercurial,Change
Repository::Mercurial,Changeset
Repository::Git,Changeset
Repository::Git,Change
Repository::Filesystem,Changeset
Repository::Filesystem,Change
Repository::Cvs,Changeset
Repository::Cvs,Change
Repository::Bazaar,Changeset
Repository::Bazaar,Change
Group,Member
Group,IssueCategory
Group,EmailAddress
GroupBuiltin,Member
GroupBuiltin,IssueCategory
GroupBuiltin,EmailAddress
GroupNonMember,Member
GroupNonMember,IssueCategory
GroupNonMember,EmailAddress
GroupAnonymous,Member
GroupAnonymous,IssueCategory
GroupAnonymous,EmailAddress
UserQuery,Role
TimeEntryQuery,Role
ProjectQuery,Role
IssueQuery,Role
ProjectAdminQuery,Role
DocumentCategory,Enumeration
IssuePriority,Enumeration
TimeEntryActivity,Enumeration
VersionCustomField,CustomFieldEnumeration
VersionCustomField,Role
UserCustomField,CustomFieldEnumeration
UserCustomField,Role
TimeEntryCustomField,CustomFieldEnumeration
TimeEntryCustomField,Role
TimeEntryActivityCustomField,CustomFieldEnumeration
TimeEntryActivityCustomField,Role
ProjectCustomField,CustomFieldEnumeration
ProjectCustomField,Role
IssuePriorityCustomField,CustomFieldEnumeration
IssuePriorityCustomField,Role
IssueCustomField,CustomFieldEnumeration
IssueCustomField,Role
GroupCustomField,CustomFieldEnumeration
GroupCustomField,Role
DocumentCustomField,CustomFieldEnumeration
DocumentCustomField,Role
DocumentCategoryCustomField,CustomFieldEnumeration
DocumentCategoryCustomField,Role
