feature,model
feature_1,Doorkeeper::AccessGrant
feature_1,Doorkeeper::AccessToken
feature_1,Doorkeeper::Application
feature_2,IssueStatus
feature_2,Tracker
feature_2,WorkflowPermission
feature_2,WorkflowRule
feature_2,WorkflowTransition
feature_3,Board
feature_3,Comment
feature_3,EnabledModule
feature_3,Journal
feature_3,JournalDetail
feature_3,Message
feature_3,News
feature_3,Principal
feature_3,Reaction
feature_3,Watcher
feature_3,Wiki
feature_3,WikiContent
feature_3,WikiContentVersion
feature_3,WikiPage
feature_3,WikiRedirect
feature_4,Import
feature_4,ImportItem
feature_4,IssueImport
feature_4,TimeEntryImport
feature_4,UserImport
feature_5,CustomField
feature_5,CustomFieldEnumeration
feature_5,DocumentCategoryCustomField
feature_5,DocumentCustomField
feature_5,GroupCustomField
feature_5,IssueCustomField
feature_5,IssuePriorityCustomField
feature_5,IssueQuery
feature_5,ProjectAdminQuery
feature_5,ProjectCustomField
feature_5,ProjectQuery
feature_5,Query
feature_5,Role
feature_5,TimeEntryActivityCustomField
feature_5,TimeEntryCustomField
feature_5,TimeEntryQuery
feature_5,UserCustomField
feature_5,UserQuery
feature_5,VersionCustomField
feature_6,Change
feature_6,Changeset
feature_6,Repository
feature_6,Repository::Bazaar
feature_6,Repository::Cvs
feature_6,Repository::Filesystem
feature_6,Repository::Git
feature_6,Repository::Mercurial
feature_6,Repository::Subversion
feature_7,Attachment
feature_7,Document
feature_7,DocumentCategory
feature_7,Enumeration
feature_7,IssuePriority
feature_7,TimeEntry
feature_7,TimeEntryActivity
feature_7,Version
feature_8,EmailAddress
feature_8,Group
feature_8,GroupAnonymous
feature_8,GroupBuiltin
feature_8,GroupNonMember
feature_8,IssueCategory
feature_8,Member
feature_8,MemberRole
